UNITID,ADM_RATE,TUITIONFEE_IN,MD_EARN_WNE_P10
150534,0.7089,33966,41800
150604,0.7809,30025,44100
150668,0.6245,33200,37700
150677,0.7873,23120,34900
150756,0.5733,35514,46400
150774,0.9101,28760,39900
150941,0.8921,25400,36200
151102,0.9326,8213,36500
151111,0.7397,9205,42500
151166,1,16275,24700
151263,0.8617,27420,40600
151290,0.6917,26370,42700
151306,0.9189,7605,37000
151324,0.8588,8746,39000
151333,0.6913,7073,36200
151342,0.7703,7073,34900
151351,0.7872,10388,47700
151360,0.758,7073,36300
151379,0.8401,7073,37900
151388,0.6028,7073,31500
151458,0.7892,13920,27300
151467,0.7736,13920,27300
151777,0.7055,30802,40700
151786,0.5958,31500,43300
151801,0.7388,25346,49900
152080,0.1873,49685,78400
152099,0.6176,23400,33600
152318,0.6107,46210,80900
152336,0.9672,28310,40400
152381,0.7302,28932,32300
152390,0.8165,38880,46200
152497,1,19898,46300
152530,0.7961,31472,38000
152567,0.7671,30960,43300
152600,0.8291,37450,48500
152673,0.6262,41050,56300
152798,0,17769,50800
153001,0.6369,32210,40000
153108,0.7343,34612,44700
153126,0.6493,30900,41300
153144,0.4995,41000,46200
153162,0.7094,39900,43000
153250,0.7203,29130,41700
153269,0.6895,35206,58300
153278,0.7569,28700,39200
153302,0.3565,16580,34400
153320,0.6617,16766,35400
153366,0.484,27010,36200
153375,0.9661,25474,43200
153384,0.2019,48758,49100
153603,0.8749,8219,50700
153621,0.5089,23516,39500
153658,0.8411,8575,51900
153825,0.9236,31525,44600
153834,0.6763,40040,47400
153861,0.506,27530,21400
153977,0.977,16920,47000
154004,0.5693,29094,43700
154013,0.6188,29696,45300
154095,0.8256,8309,44600
154101,0.6553,29500,38400
154235,0.6358,29150,47300
154262,0.5,20440,44400
154350,0.8545,35876,47500
154493,0.5555,28890,42900
154518,0.6671,21260,37800
154527,0.6825,38380,45400
154590,0.5867,24510,42100
154688,0.7775,28030,51300
154712,0.9771,27480,40100
154721,0.638,26660,40200
154749,0.5597,26920,40800
154855,0.5364,16850,31700
155025,0.8743,6179,37100
155061,0.9073,4884,38200
155070,0.6667,15990,33900
155089,0.5501,26865,41800
155140,0.8646,480,24900
155317,0.9301,11455,48800
155335,0.5778,27556,44000
155399,0.9407,9874,45600
155414,0.5466,28000,40300
155423,0.5669,6192,40300
155496,0.5951,14986,35500
155511,0.573,26498,39300
155520,0.5181,28150,42900
155627,0.5007,27096,41500
155681,0.8734,6910,39400
155812,0.4944,26650,38500
155900,0.9215,27250,46400
155937,0.3737,24250,35700
155973,0.5594,26590,40800
156125,0.8623,7895,40400
156189,0.2219,11550,31700
156213,0.696,28630,34900
156286,0.8245,39750,45700
156295,0.328,25470,33700
156356,0.4677,21100,40100
156365,0.6979,24596,33700
156408,0.7426,39300,45500
